,Estatísticas,Valores
0,Total Usuários,8
1,Finalizaram o Teste,6
2,Não Finalizaram,2
3,Percentual Administração,0.0%
4,Percentual Exatas,0.0%
5,Percentual Ciências Sociais e Humanas,12.5%
6,Percentual Engenharia,12.5%
7,Percentual Saúde,37.5%
8,Percentual Biologia,12.5%
9,Percentual Artes,0.0%
